Symbol,ShortName,violation_year,feature_year,ann_related,ann_fin_flag,third_party_flag,roe,roa,debt_ratio,current_ratio,asset_turnover,net_margin,ocf_to_rev,ts_code,name,industry,area,list_date,p_ml,rule_score_sum,rule_score_norm,n_rules_triggered,rule_ids,risk_score,risk_level
300198,ST 纳川,2025,2024,0.0,,,-2.499490490011061,-0.1470673130006253,0.9411610831934094,0.6554536957782662,0.0738394624664691,-1.9917170045408876,0.4730682458891561,300198.SZ,*ST纳川,塑料,福建,20110407.0,0.6629385759861023,70.0,0.56,4,R1;R3;R4;R5,0.6217631455916615,高风险
300336,*ST 新文,2021,2020,1.0,1.0,0.0,-5.588658085647793,-1.1933236720271656,0.7864740240431358,0.5910734467483596,0.2376865087314656,-5.020578064762453,0.2721853016518434,300336.SZ,新文退(退),未分类,未知,20120710.0,0.6589156714979041,70.0,0.56,4,R1;R3;R4;R5,0.6193494028987425,高风险
600759,洲际油气,2018,2017,0.0,,,-0.0168747226209782,-0.005892295266089,0.6508212076467643,0.5259263899590662,0.1738723527011062,-0.0338886267687313,0.1676183597106244,600759.SH,ST洲际,石油开采,海南,19961008.0,0.7379788109199078,55.0,0.44,3,R1;R4;R5,0.6187872865519447,高风险
600234,山水文化,2015,2014,0.0,,,-0.2461579002253739,-0.0446900470958424,0.8184496737462996,0.0687531734446622,0.022534919360882,-1.983146528290631,-2.2939549283056953,600234.SH,科新发展,装修装饰,山西,20000615.0,0.6578290842835214,70.0,0.56,4,R1;R3;R4;R5,0.6186974505701128,高风险
600401,*ST 海润,2017,2016,1.0,1.0,0.0,-0.310750036661273,-0.061050086172423,0.8035395688819517,0.8546521993535968,0.2332248777697494,-0.2617648972795026,-0.1995537200251637,600401.SH,退市海润(退),未分类,未知,20030924.0,0.6570993595256951,70.0,0.56,4,R1;R3;R4;R5,0.6182596157154171,高风险
603843,*ST 正平,2024,2023,1.0,1.0,1.0,-0.4269775071776711,-0.0671524101265895,0.8427261178920918,0.7711332361644121,0.2316142697645709,-0.2899320935400397,-0.1557398304723946,603843.SH,*ST正平,建筑工程,青海,20160905.0,0.6569920381580215,70.0,0.56,4,R1;R3;R4;R5,0.6181952228948129,高风险
300370,安控科技,2023,2022,1.0,1.0,0.0,-0.4664893730194195,-0.2090973289850429,0.5517640034720825,0.9996693886574224,0.239971607858881,-0.8713419510361649,0.0461123871482558,300370.SZ,安控科技,电器仪表,四川,20140123.0,0.7357323324123869,55.0,0.44,3,R1;R4;R5,0.6174393994474321,高风险
300197,节能铁汉,2025,2024,0.0,,,-0.8781614871940842,-0.1016540842344513,0.8842421516807141,0.550788742535697,0.0389703545650803,-2.608497802212432,0.1715805114820605,300197.SZ,节能铁汉,环境保护,深圳,20110329.0,0.655080126728359,70.0,0.56,4,R1;R3;R4;R5,0.6170480760370154,高风险
600666,ST 瑞德,2018,2017,1.0,1.0,0.0,-0.0078414567882457,-0.0026620824594421,0.6605117478384068,0.9701024139167804,0.1649052625500109,-0.0161431019136509,0.3329348493614834,600666.SH,奥瑞德,元器件,黑龙江,19930712.0,0.7339754885902913,55.0,0.44,3,R1;R4;R5,0.6163852931541748,高风险
300027,华谊兄弟,2022,2021,0.0,,,-0.0885453302491362,-0.0318574024990789,0.6402136351014435,0.7154159834337265,0.1972116777540327,-0.1615391282194366,0.1675493501251209,300027.SZ,ST华谊,影视音像,浙江,20091030.0,0.7332421315907536,55.0,0.44,3,R1;R4;R5,0.6159452789544522,高风险
