Symbol,ShortName,violation_year,rule_score_sum,n_rules_triggered,rule_ids,industry,ann_fin_flag
300010,豆神教育,2019,55,3,R1;R4;R5,软件服务,1.0
600163,福建南纸,2010,55,3,R1;R4;R5,新型电力,
600715,*ST 文投,2021,55,3,R1;R4;R5,影视音像,1.0
300526,*ST 中潜,2021,55,3,R1;R4;R5,未分类,
601555,东吴证券,2017,55,3,R2;R3;R5,证券,
600759,洲际油气,2018,55,3,R1;R4;R5,石油开采,
600112,ST 天成,2017,55,3,R1;R4;R5,未分类,1.0
600747,*ST 大控,2011,55,3,R1;R4;R5,未分类,0.0
601788,光大证券,2018,55,3,R2;R3;R5,证券,
600070,*ST 富润,2025,55,3,R1;R4;R5,未分类,
600109,国金证券,2011,55,3,R2;R3;R5,证券,0.0
600748,上实发展,2016,55,3,R2;R3;R5,全国地产,1.0
600732,ST 新梅,2016,55,3,R1;R4;R5,电气设备,
600112,*ST 天成,2016,55,3,R1;R4;R5,未分类,1.0
600381,青海春天,2015,55,3,R2;R3;R5,医疗保健,
600466,蓝光发展,2021,55,3,R2;R3;R5,未分类,
300052,中青宝,2023,55,3,R1;R4;R5,互联网,
600165,宁科生物,2022,55,3,R1;R4;R5,化工原料,
300318,博晖创新,2021,55,3,R1;R4;R5,医疗保健,
601558,ST 锐电,2020,55,3,R2;R3;R5,未分类,
601555,东吴证券,2021,55,3,R2;R3;R5,证券,
688062,迈威生物,2022,55,3,R1;R4;R5,生物制药,
300334,津膜科技,2021,55,3,R1;R4;R5,专用机械,
600749,西藏旅游,2015,55,3,R1;R4;R5,旅游景点,
600275,*ST 昌鱼,2021,55,3,R1;R4;R5,未分类,
300495,*ST 美尚,2021,55,3,R1;R4;R5,未分类,
600811,东方集团,2024,55,3,R1;R4;R5,未分类,
600823,ST 世茂,2023,55,3,R1;R4;R5,未分类,
600266,城建发展,2020,55,3,R2;R3;R5,区域地产,
603377,东方时尚,2023,55,3,R1;R4;R5,汽车服务,
600338,西藏珠峰,2024,55,3,R1;R4;R5,铅锌,
600246,万通地产,2015,55,3,R2;R3;R5,区域地产,
600185,格力地产,2019,55,3,R2;R3;R5,旅游服务,
600999,招商证券,2016,55,3,R2;R3;R5,证券,
